Fecha,Fecha de Compra,Descripción,Importe
27 Sep 2025,28 Sep 2025,TST* STATE STREET BRATS MADISON,92.13
27 Sep 2025,28 Sep 2025,TST* THE DOUBLE U 00181 MADISON,171.04
27 Sep 2025,28 Sep 2025,TST* THE DOUBLE U 00181 MADISON,294.31
27 Sep 2025,28 Sep 2025,WHISKEY JACKS           MADISON,92.69
26 Sep 2025,27 Sep 2025,FRESH MADISON MARKET 33 MADISON,797.62
26 Sep 2025,29 Sep 2025,PAYPAL *MICROSOFT       8006427676,975.66
26 Sep 2025,26 Sep 2025,QDOBA 2033              MADISON,286.76
26 Sep 2025,27 Sep 2025,RILEYS WINES OF THE WOR MADISON,338.30
26 Sep 2025,28 Sep 2025,TCP*UWMADISONHSG        MADISON,224839.84
26 Sep 2025,28 Sep 2025,TCP*UWMADISONHSG        MADISON,1000.57
26 Sep 2025,26 Sep 2025,UBER,230.51
25 Sep 2025,25 Sep 2025,BARRIQUES               Madison,292.82
25 Sep 2025,25 Sep 2025,UBER,216.71
25 Sep 2025,26 Sep 2025,WHISKEY JACKS           MADISON,208.41
23 Sep 2025,24 Sep 2025,GOOGLE *YOUTUBE VIDEOS  G.CO/HELPPAY#,75.08
23 Sep 2025,23 Sep 2025,IC* INSTACART           SAN FRANCISCO,37.63
23 Sep 2025,23 Sep 2025,IC* INSTACART           SAN FRANCISCO,2996.57
23 Sep 2025,24 Sep 2025,PAYPAL *SPOTIFY*P3AD159 2033189708,118.92
22 Sep 2025,22 Sep 2025,BT*DD *DOORDASH LOSGEME SAN FRANCISCO,277.72
21 Sep 2025,21 Sep 2025,BT*DD *DOORDASH BURGERK SAN FRANCISCO,446.27
21 Sep 2025,21 Sep 2025,QDOBA 2033              MADISON,296.69
21 Sep 2025,21 Sep 2025,TST* THE KOLLEGE KLUB - MADISON,289.52
20 Sep 2025,21 Sep 2025,LINELEAP                BELLEVILLE,3323.88
19 Sep 2025,20 Sep 2025,CTLP*CANTEEN VENDING S  CHARLOTTE,49.10
19 Sep 2025,20 Sep 2025,RILEYS WINES OF THE WOR MADISON,2504.24
19 Sep 2025,20 Sep 2025,TST* CHASERS 2.0 001812 MADISON,127.48
18 Sep 2025,19 Sep 2025,FRESH MADISON MARKET 33 MADISON,744.09
17 Sep 2025,18 Sep 2025,AMAZON MKTPL*IM25243H3  AMZN.COM/BILL,129.37
17 Sep 2025,18 Sep 2025,IC* COSTCO BY INSTACAR  SAN FRANCISCO,2401.21
17 Sep 2025,18 Sep 2025,IC* INSTACART           SAN FRANCISCO,5055.48
17 Sep 2025,18 Sep 2025,IC* INSTACART           SAN FRANCISCO,6057.34
17 Sep 2025,17 Sep 2025,TARGET        034058 09 MADISON,59.28
17 Sep 2025,17 Sep 2025,TST* THE KOLLEGE KLUB - MADISON,231.40
16 Sep 2025,17 Sep 2025,TST* THE KOLLEGE KLUB - MADISON,149.93
16 Sep 2025,17 Sep 2025,TST* THE KOLLEGE KLUB - MADISON,168.78
16 Sep 2025,17 Sep 2025,UW MADISON WISC UNION 0 MADISON,168.22
15 Sep 2025,15 Sep 2025,BT*DD *DOORDASH WINGSTO SAN FRANCISCO,325.70
15 Sep 2025,16 Sep 2025,TARGET        034058 09 MADISON,1560.60
14 Sep 2025,14 Sep 2025,BT*DD *DOORDASH SUSHIEX SAN FRANCISCO,451.02
14 Sep 2025,14 Sep 2025,TST* THE DOUBLE U 00181 MADISON,171.90
14 Sep 2025,14 Sep 2025,TST* THE KOLLEGE KLUB - MADISON,189.36
